ticker,date,time,price,volume
ORANGEPL,191024,142647,5.885,140
ORANGEPL,191024,142653,5.885,139
ORANGEPL,191024,142656,5.885,140
ORANGEPL,191024,142723,5.885,140
ORANGEPL,191024,142908,5.88,1398
ORANGEPL,191024,142908,5.88,435
ORANGEPL,191024,142914,5.88,386
ORANGEPL,191024,142914,5.88,1212
ORANGEPL,191024,142914,5.88,257
ORANGEPL,191024,142914,5.88,1212
ORANGEPL,191024,142914,5.88,3788
ORANGEPL,191024,142914,5.88,1000
ORANGEPL,191024,142914,5.885,564
ORANGEPL,191024,142915,5.885,177
ORANGEPL,191024,142915,5.885,290
ORANGEPL,191024,143001,5.875,1398
ORANGEPL,191024,143002,5.875,140
ORANGEPL,191024,143003,5.875,140
ORANGEPL,191024,143007,5.875,1691
ORANGEPL,191024,143008,5.885,507
ORANGEPL,191024,143107,5.87,699
ORANGEPL,191024,143107,5.87,559
ORANGEPL,191024,143707,5.87,413
ORANGEPL,191024,143707,5.87,386
ORANGEPL,191024,143708,5.87,567
ORANGEPL,191024,143708,5.87,180
ORANGEPL,191024,143825,5.875,70
ORANGEPL,191024,143825,5.87,112
ORANGEPL,191024,143848,5.87,542
ORANGEPL,191024,143933,5.875,707
ORANGEPL,191024,143933,5.875,797
ORANGEPL,191024,143933,5.875,1736
ORANGEPL,191024,143934,5.88,224
ORANGEPL,191024,143934,5.88,2191
ORANGEPL,191024,143934,5.88,2732
ORANGEPL,191024,143934,5.885,1613
ORANGEPL,191024,143934,5.885,760
ORANGEPL,191024,143935,5.89,1613
ORANGEPL,191024,143935,5.89,236
ORANGEPL,191024,143947,5.875,140
ORANGEPL,191024,143958,5.89,454
ORANGEPL,191024,143958,5.89,347
ORANGEPL,191024,144029,5.89,452
ORANGEPL,191024,144029,5.89,558
ORANGEPL,191024,144043,5.875,280
ORANGEPL,191024,144140,5.89,905
ORANGEPL,191024,144141,5.895,1185
ORANGEPL,191024,144156,5.9,105
ORANGEPL,191024,144236,5.895,447
ORANGEPL,191024,144408,5.9,139
ORANGEPL,191024,144417,5.9,140
ORANGEPL,191024,144431,5.9,280
ORANGEPL,191024,144432,5.9,140
ORANGEPL,191024,144439,5.9,140
ORANGEPL,191024,144454,5.9,279
ORANGEPL,191024,144733,5.9,140
ORANGEPL,191024,144807,5.9,125
ORANGEPL,191024,144807,5.9,363
ORANGEPL,191024,144807,5.9,647
ORANGEPL,191024,144807,5.9,924
ORANGEPL,191024,144807,5.9,1683
ORANGEPL,191024,144807,5.9,1546
ORANGEPL,191024,144807,5.9,560
ORANGEPL,191024,144807,5.9,1000
ORANGEPL,191024,144808,5.9,487
ORANGEPL,191024,144808,5.9,1264
ORANGEPL,191024,144819,5.9,280
ORANGEPL,191024,144820,5.9,139
ORANGEPL,191024,144842,5.9,280
ORANGEPL,191024,144905,5.9,280
ORANGEPL,191024,144957,5.9,699
